feature_id,feature_name,aliases,description
1411,GADD45A,"['DDIT1', 'GADD45', 'GADD45A']",
1417,DDX3X,"['CAP-Rf', 'DBX', 'DDX14', 'DDX3', 'DDX3X', 'HLP2', 'MRX102', 'MRXSSB']",
1428,DEFA1,"['DEF1', 'DEFA1', 'DEFA2', 'HNP-1', 'HP-1', 'HP1', 'MRS']",
1463,NQO1,"['DHQU', 'DIA4', 'DTD', 'NMOR1', 'NMORI', 'NQO1', 'QR1']",
1510,DNMT1,"['ADCADN', 'AIM', 'CXXC9', 'DNMT', 'DNMT1', 'HSN1E', 'MCMT', 'm.HsaI']",
1526,DPYD,"['DHP', 'DHPDHASE', 'DPD', 'DPYD', 'DYPD']",
1532,DRD1,"['D1R', 'DADR', 'DRD1', 'DRD1A']",
1536,DRD5,"['DBDR', 'DRD1B', 'DRD1L2', 'DRD5']",
1559,DTX1,"['DTX1', 'RNF140', 'hDx-1']",
1563,DUSP2,"['DUSP2', 'PAC-1', 'PAC1']",
1567,DUSP6,"['DUSP6', 'HH19', 'MKP3', 'PYST1']",
1590,EBF1,"['COE1', 'EBF', 'EBF1', 'O/E-1', 'OLF1']",
1603,S1PR1,"['CD363', 'CHEDG1', 'D1S3362', 'ECGF1', 'EDG-1', 'EDG1', 'S1P1', 'S1PR1']",
1604,LPAR1,"['EDG2', 'Gpcr26', 'LPA1', 'LPAR1', 'Mrec1.3', 'VZG1', 'edg-2', 'rec.1.3', 'vzg-1']",
1627,EFNA2,"['EFNA2', 'ELF-1', 'EPLG6', 'HEK7-L', 'LERK-6', 'LERK6']",
1634,EGF,"['EGF', 'HOMG4', 'URG']",
1646,EIF1AX,"['EIF1A', 'EIF1AP1', 'EIF1AX', 'EIF4C', 'eIF-1A', 'eIF-4C']",
1651,EIF4A1,"['DDX2A', 'EIF-4A', 'EIF4A', 'EIF4A1', 'eIF-4A-I', 'eIF4A-I']",
1655,EIF4EBP1,"['4E-BP1', '4EBP1', 'BP-1', 'EIF4EBP1', 'PHAS-I']",
1701,SLC29A1,"['AUG', 'ENT1', 'SLC29A1', 'hENT1']",
1704,EP300,"['EP300', 'KAT3B', 'MKHK2', 'RSTS2', 'p300']",
1705,EPAS1,"['ECYT4', 'EPAS1', 'HIF2A', 'HLF', 'MOP2', 'PASD2', 'bHLHe73']",
1719,EPHB2,"['BDPLT22', 'CAPB', 'DRT', 'EK5', 'EPHB2', 'EPHT3', 'ERK', 'Hek5', 'PCBC', 'Tyro5']",
1721,EPHB4,"['CMAVM2', 'EPHB4', 'HFASD', 'HTK', 'LMPHM7', 'MYK1', 'TYRO11']",
1728,EPOR,"['EPO-R', 'EPOR']",
1733,ERBB3,"['ERBB3', 'ErbB-3', 'FERLK', 'HER3', 'LCCS2', 'MDA-BF-1', 'VSCN1', 'c-erbB-3', 'c-erbB3', 'erbB3-S', 'p180-ErbB3', 'p45-sErbB3', 'p85-sErbB3']",
1735,ERCC1,"['COFS4', 'ERCC1', 'RAD10', 'UV20']",
1737,EREG,"['EPR', 'ER', 'EREG', 'Ep']",
1741,ERCC5,"['COFS3', 'ERCC5', 'ERCC5-201', 'ERCM2', 'UVDR', 'XPG', 'XPGC']",
1742,ERCC6,"['ARMD5', 'CKN2', 'COFS', 'COFS1', 'CSB', 'CSB-PGBD3', 'ERCC6', 'POF11', 'RAD26', 'UVSS1']",
1753,ESR2,"['ER-BETA', 'ESR-BETA', 'ESR2', 'ESRB', 'ESTRB', 'Erb', 'NR3A2', 'ODG8']",
1762,ETS1,"['ETS-1', 'ETS1', 'EWSR2', 'c-ets-1', 'p54']",
1763,ETS2,"['ETS2', 'ETS2IT1']",
1764,ETV1,"['ER81', 'ETV1']",
1767,ETV4,"['E1A-F', 'E1AF', 'ETV4', 'PEA3', 'PEAS3']",
1768,ETV5,"['ERM', 'ETV5']",
1769,ETV6,"['ETV6', 'TEL', 'TEL/ABL', 'THC5']",
1771,MECOM,"['AML1-EVI-1', 'EVI1', 'KMT8E', 'MDS1', 'MDS1-EVI1', 'MECOM', 'PRDM3', 'RUSAT2']",
1796,F9,"['F9', 'F9 p22', 'FIX', 'HEMB', 'P19', 'PTC', 'THPH8']",
1810,FANCA,"['FA', 'FA-H', 'FA1', 'FAA', 'FACA', 'FAH', 'FANCA', 'FANCH']",
1811,FANCC,"['FA3', 'FAC', 'FACC', 'FANCC']",
1827,FAT1,"['CDHF7', 'CDHR8', 'FAT', 'FAT1', 'ME5', 'hFat1']",
1842,FCGR2A,"['CD32', 'CD32A', 'CDw32', 'FCG2', 'FCGR2', 'FCGR2A', 'FCGR2A1', 'FcGR', 'FcgammaRIIa', 'IGFR2']",
1843,FCGR2B,"['CD32', 'CD32B', 'FCG2', 'FCGR2', 'FCGR2B', 'FCGR2C', 'FcGRIIB', 'FcRII-c', 'FcgammaRIIb', 'IGFR2']",
1844,FCGR3A,"['CD16', 'CD16-II', 'CD16A', 'FCG3', 'FCGR3', 'FCGR3A', 'FCGRIII', 'FCR-10', 'FCRIII', 'FCRIIIA', 'FcGRIIIA', 'IGFR3', 'IMD20']",
1872,FGF2,"['BFGF', 'FGF-2', 'FGF2', 'FGFB', 'HBGF-2']",
1883,FGF13,"['DEE90', 'FGF-13', 'FGF13', 'FGF2', 'FHF-2', 'FHF2', 'LINC00889', 'XLID110']",
1887,FGFR4,"['CD334', 'FGFR4', 'JTK2', 'TKF']",
1911,FOXF1,"['ACDMPV', 'FKHL5', 'FOXF1', 'FREAC1']",
1920,FOXC2,"['FKHL14', 'FOXC2', 'LD', 'MFH-1', 'MFH1']",
1925,FOXO1,"['FKH1', 'FKHR', 'FOXO1', 'FOXO1A']",
1926,FOXO3,"['AF6q21', 'FKHRL1', 'FKHRL1P2', 'FOXO2', 'FOXO3', 'FOXO3A']",
1937,FLT3LG,"['FL', 'FLG3L', 'FLT3L', 'FLT3LG']",
1938,FLT4,"['CHTD7', 'FLT-4', 'FLT4', 'FLT41', 'LMPH1A', 'LMPHM1', 'PCL', 'VEGFR-3', 'VEGFR3']",
1947,FN1,"['CIG', 'ED-B', 'FINC', 'FN', 'FN1', 'FNZ', 'GFND', 'GFND2', 'LETS', 'MSF', 'SMDCF']",
1950,FNTB,"['FNTB', 'FPTB']",
1955,FOS,"['AP-1', 'C-FOS', 'FOS', 'p55']",
1956,FOSB,"['AP-1', 'FOSB', 'G0S3', 'GOS3', 'GOSB']",
2104,FUCA1,"['FUCA', 'FUCA1']",
2186,GAS6,"['AXLLG', 'AXSF', 'GAS6']",
2188,GATA1,"['ERYF1', 'GATA-1', 'GATA1', 'GF-1', 'GF1', 'HAEADA', 'NF-E1', 'NFE1', 'XLANP', 'XLTDA', 'XLTT']",
2189,GATA3,"['GATA3', 'HDR', 'HDRS']",
2239,B4GALT1,"['B4GAL-T1', 'B4GALT1', 'CDG2D', 'CLDLFIB', 'GGTB2', 'GT1', 'GTB', 'beta4Gal-T1']",
2261,GK,"['GK', 'GK1', 'GKD']",
2308,GNA11,"['FBH', 'FBH2', 'FHH2', 'GNA-11', 'GNA11', 'HG1K', 'HHC2', 'HYPOC2']",
2312,GNAI2,"['GIP', 'GNAI2', 'GNAI2B', 'HG1C', 'H_LUCA15.1', 'H_LUCA16.1']",
2317,GNAQ,"['CMAL', 'CMC1', 'G-ALPHA-q', 'GAQ', 'GNAQ', 'SWS']",
2319,GNAS,"['AHO', 'C20orf45', 'GNAS', 'GNAS1', 'GPSA', 'GSA', 'GSP', 'NESP', 'PITA3', 'POH', 'SCG6', 'SgVI']",
2345,GOT1,"['AST', 'AST1', 'ASTQTL1', 'GIG18', 'GOT1', 'SGOT', 'cAspAT', 'cCAT']",
2354,GPD1,"['GPD-C', 'GPD1', 'GPDH-C', 'HTGTI']",
2408,GPX2,"['GI-GPx', 'GPRP', 'GPRP-2', 'GPX2', 'GPx-2', 'GPx-GI', 'GSHPX-GI', 'GSHPx-2']",
2438,ARHGAP35,"['ARHGAP35', 'GRF-1', 'GRLF1', 'P190-A', 'P190A', 'p190ARhoGAP', 'p190RhoGAP']",
2473,GSTP1,"['DFN7', 'FAEES3', 'GST3', 'GSTP', 'GSTP1', 'HEL-S-22', 'PI']",
2478,MSH6,"['GTBP', 'GTMBP', 'HNPCC5', 'HSAP', 'LYNCH5', 'MMRCS3', 'MSH-6', 'MSH6', 'p160']",
2526,H1-2,"['H1-2', 'H1.2', 'H1C', 'H1F2', 'H1s-1', 'HIST1H1C']",
2527,H1-3,"['H1-3', 'H1.3', 'H1D', 'H1F3', 'H1s-2', 'HIST1H1D']",
2529,H1-5,"['H1', 'H1-5', 'H1.5', 'H1B', 'H1F5', 'H1s-3', 'HIST1H1B']",
2535,H2BC5,"['H2B.1B', 'H2B/a', 'H2B/b', 'H2B/g', 'H2B/h', 'H2B/k', 'H2B/l', 'H2BC5', 'H2BFA', 'H2BFB', 'H2BFG', 'H2BFH', 'H2BFK', 'H2BFL', 'HIRIP2', 'HIST1H2BC', 'HIST1H2BD', 'HIST1H2BE', 'HIST1H2BF', 'HIST1H2BG', 'HIST1H2BI', 'dJ221C16.6']",
2537,H3-3A,"['BRYLIB1', 'H3-3A', 'H3-3B', 'H3.3A', 'H3F3', 'H3F3A']",
2538,H3-3B,"['BRYLIB2', 'H3-3A', 'H3-3B', 'H3.3B', 'H3F3B']",
2556,HBB,"['CD113t-C', 'ECYT6', 'HBB', 'beta-globin']",
2578,HDAC2,"['HD2', 'HDAC2', 'KDAC2', 'RPD3', 'YAF1']",
2591,HGF,"['DFNB39', 'F-TCF', 'HGF', 'HGFB', 'HPTA', 'SF']",
2593,NRG1,"['ARIA', 'GGF', 'GGF2', 'HGL', 'HRG', 'HRG1', 'HRGA', 'MST131', 'MSTP131', 'NDF', 'NRG1', 'NRG1-IT2', 'SMDF']",
2596,HIF1A,"['HIF-1-alpha', 'HIF-1A', 'HIF-1alpha', 'HIF1', 'HIF1-ALPHA', 'HIF1A', 'MOP1', 'PASD8', 'bHLHe78']",
2606,HLA-A,"['HLA-A', 'HLAA']",
2607,HLA-B,"['AS', 'B-4901', 'HLA-B', 'HLAB']",
2608,HLA-C,"['D6S204', 'HLA-C', 'HLA-JY3', 'HLAC', 'HLC-C', 'MHC', 'PSORS1']",
2622,HLA-DRA,"['HLA-DRA', 'HLA-DRA1']",
2657,HMOX1,"['HMOX1', 'HMOX1D', 'HO-1', 'HSP32', 'bK286B10']",
2677,HNRNPH1,"['HNRNPH1', 'HNRPH', 'HNRPH1', 'NEDCDS', 'hnRNPH']",
2682,HNRNPU,"['DEE54', 'EIEE54', 'GRIP120', 'HNRNPU', 'HNRNPU-AS1', 'HNRPU', 'SAF-A', 'SAFA', 'U21.1', 'hnRNP U', 'pp120']",
2698,HOXA13,"['HOX1', 'HOX1J', 'HOXA13']",
2700,HOXB1,"['HCFP3', 'HOX2', 'HOX2I', 'HOXB1', 'Hox-2.9']",
2715,HOXC10,"['HOX3I', 'HOXC10']",
2723,HOXD8,"['HOX4', 'HOX4E', 'HOX5.4', 'HOXD8']",
2747,HRAS,"['C-BAS/HAS', 'C-H-RAS', 'C-HA-RAS1', 'CTLO', 'H-RASIDX', 'HAMSV', 'HRAS', 'HRAS1', 'RASH1', 'p21ras']",
2767,HSD17B4,"['DBP', 'HSD17B4', 'MFE-2', 'MFP-2', 'MPF-2', 'PRLTS1', 'SDR8C1']",
2778,HSPA5,"['BIP', 'GRP78', 'HEL-S-89n', 'HSPA5']",
2784,HSPB1,"['CMT2F', 'HEL-S-102', 'HMN2B', 'HMND3', 'HS.76067', 'HSP27', 'HSP28', 'HSPB1', 'Hsp25', 'SRP27']",
2822,TNC,"['150-225', 'DFNA56', 'GMEM', 'GP', 'HXB', 'JI', 'TN', 'TN-C', 'TNC']",
2836,IRF8,"['H-ICSBP', 'ICSBP', 'ICSBP1', 'IMD32A', 'IMD32B', 'IRF-8', 'IRF8']",
2840,ID3,"['HEIR-1', 'ID3', 'bHLHb25']",
2888,IFNGR1,"['CD119', 'IFNGR', 'IFNGR1', 'IMD27A', 'IMD27B']",
2899,IGF1R,"['CD221', 'IGF1R', 'IGFIR', 'IGFR', 'JTK13']",
2967,IL4R,"['CD124', 'IL-4RA', 'IL4R', 'IL4RA']",
2970,IL6,"['BSF-2', 'BSF2', 'CDF', 'HGF', 'HSF', 'IFN-beta-2', 'IFNB2', 'IL-6', 'IL6']",
2975,IL7R,"['CD127', 'CDW127', 'IL-7R-alpha', 'IL-7Ralpha', 'IL7R', 'IL7RA', 'IL7Ralpha', 'ILRA', 'IMD104', 'lnc-IL7R', 'sIL-7R']",
3014,INHBA,"['EDF', 'FRP', 'INHBA']",
